team_a,team_b,kalshi_event,polymarket_event,kalshi_yes_a,poly_yes_a,kalshi_yes_b,poly_yes_b,kalshi_url,polymarket_url
cal poly,san jose state,Cal Poly vs San Jose St.,Cal Poly vs. San Jose State,0.09,0.08,0.92,0.92,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12cpsjsu,https://polymarket.com/event/cfb-calpol-sjst-2026-09-12
california,syracuse,California vs Syracuse,California vs. Syracuse,0.4,0.385,0.62,0.615,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12calsyr,https://polymarket.com/event/cfb-cah-syra-2026-09-12
campbell,florida,Campbell vs Florida,Campbell vs. Florida,0.01,0.0085,1.0,0.9915,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12campfla,https://polymarket.com/event/cfb-camp-fl-2026-09-12
central connecticut state,toledo,Central Connecticut St. vs Toledo,Central Connecticut State vs. Toledo,0.03,0.022,0.98,0.978,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12ccsutol,https://polymarket.com/event/cfb-cencon-toledo-2026-09-12
central michigan,colgate,Colgate vs Central Michigan,Colgate vs. Central Michigan,0.94,0.93,0.07,0.07,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12colgcmu,https://polymarket.com/event/cfb-colg-cmich-2026-09-12
charleston southern,the citadel,Charleston Southern vs The Citadel,Charleston Southern vs. The Citadel,0.51,0.48,0.52,0.52,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12chsocit,https://polymarket.com/event/cfb-chsou-cita-2026-09-12
charlotte,mississippi,Charlotte vs Ole Miss,Charlotte vs. Ole Miss,0.01,0.0035,1.0,0.9965,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12charmiss,https://polymarket.com/event/cfb-charlt-miss-2026-09-12
chattanooga,eastern kentucky,Chattanooga vs Eastern Kentucky,Chattanooga vs. Eastern Kentucky,0.65,0.635,0.38,0.365,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12chateky,https://polymarket.com/event/cfb-chat-ekent-2026-09-12
cincinnati,western carolina,Western Carolina vs Cincinnati,Western Carolina vs. Cincinnati,0.98,0.981,0.02,0.019,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12wcucin,https://polymarket.com/event/cfb-wcar-cin-2026-09-12
clemson,georgia southern,Georgia Southern vs Clemson,Georgia Southern vs. Clemson,0.91,0.905,0.1,0.095,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12gasoclem,https://polymarket.com/event/cfb-gas-clmsn-2026-09-12
